"electrode","x_norm","y_norm"
IO1,0.25,0
IO2,0.75,0
LO1,0.1,0.1
LO2,0.9,0.1
F9,0.025,0.75
F10,0.975,0.75
TP9,0,0.65
TP10,1,0.65
